Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Number of Collaborators#number,OA concepts#multi#sortquan,Publications#hidden,Citedness#number,H Index#number,Publication Dates#multi#sortquan,Relevant Publications#number,#img,#netvis
H W Hague,https://openalex.org/A2579548827,Unknown,,,,,,https://openalex.org/A4334493318|https://openalex.org/A4341366154|https://openalex.org/A2639326053|https://openalex.org/A2423675094|https://openalex.org/A2466934636|https://openalex.org/A2700418087|https://openalex.org/A2764344154|https://openalex.org/A2627884716|https://openalex.org/A2629438255,"aqueducts,|water",9,Irrigation|Geology|Voltage|Environmental engineering|Cementation (geology)|Water supply|Engineering|Mains electricity|Electrical engineering|Water resource management|Hydrology (agriculture)|Geography|Biology|Ecology|Geotechnical engineering|Environmental science|Archaeology|Cement,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2579548827"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,0,1923,1,un,c12487cbd57cdc4d45b2dca204f0968c52f09976b28349cc350e41ac050cced1
H. J. T. Smith,https://openalex.org/A2159656500,University of Waterloo,Waterloo,Ontario,Canada,43.472534,-80.544876,https://openalex.org/A2646331407|https://openalex.org/A2152302202|https://openalex.org/A4351435204|https://openalex.org/A2628355558|https://openalex.org/A4353325735|https://openalex.org/A2462974748|https://openalex.org/A2183653964,"aqueducts,|water",7,Archaeology|Geography|Aqueduct,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2159656500"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,17,1921,1,CA,700000442f042b4a39486bce2958175f2a002b18e302a5de23354b1ace6f3c23
H. Lee Wimmer,https://openalex.org/A2323965181,Unknown,,,,,,https://openalex.org/A4342376201|https://openalex.org/A4355818730|https://openalex.org/A2324772599,"aqueducts,|water",3,Oceanography|Geology|Aqueduct|Environmental engineering|Water supply|Engineering|Pipeline transport|Geography|Hydrology (agriculture)|Civil engineering|Geotechnical engineering|Environmental science|Archaeology|Front (military),"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2323965181"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,0,2010,1,un,211345edf7848a361a74bea97417ba584a2340491c434c58f0eaaad4a5da7827
HE Xiu-fen,https://openalex.org/A2350536798,Unknown,,,,,,,"aqueducts,|water",0,Radiant intensity|Geology|Aqueduct|Air temperature|Boundary value problem|Geography|Water resource management|Mathematical analysis|Atmospheric sciences|Physics|Optics|Intensity (physics)|Environmental science|Archaeology|Mathematics|Water transfer|Radiation,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2350536798"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,0,2008,1,un,
Halis Akalin,https://openalex.org/A4356015540,Uludağ University,Bursa,,Turkey,40.2189,28.87,https://openalex.org/A4340560500|https://openalex.org/A4335881728,"aqueducts,|water",2,Tularemia|Virology|Geography|Medicine,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4356015540"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0.8333333333333334,12,2009,1,TR,4a27430f4951f92877b413b415fa4be5ace15d1be6f2a089c6c843ba9ca7eb94
Hancock,https://openalex.org/A2172877842,Unknown,,,,,,https://openalex.org/A4350418025|https://openalex.org/A4335012496|https://openalex.org/A2707566835|https://openalex.org/A2655344010|https://openalex.org/A2490559863|https://openalex.org/A2764627878|https://openalex.org/A2572605512|https://openalex.org/A2611023640|https://openalex.org/A2264904525,"aqueducts,|water",9,Public health|Nursing|Medicine,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2172877842"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,5,1981,1,un,7e18af7b2cfd115f5c0fa835d04f5fc7565087ac279d68a6cccb004097a1ffba
Hans-Rudolf Wenk,https://openalex.org/A4357914128,Planetary Science Institute,Tucson,Arizona,United States,32.26438,-110.94628,https://openalex.org/A4332205272,"aqueducts,|water",1,Tonnage|Materials science|Oceanography|Geology|Tonne|Engineering|Portland cement|Geotechnical engineering|Metallurgy|Civil engineering|Environmental science|Waste management|Cement,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4357914128"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",1.625,53,2004,1,US,19013b3e949ac03411e6f4d805dc6f4840a86b45cbaebfaa4324064faba1f7b3
Hao Wu,https://openalex.org/A4355064394,Yunnan University,Kunming,,China,24.841146,102.82626,https://openalex.org/A4333347668|https://openalex.org/A4355277218|https://openalex.org/A4357067711|https://openalex.org/A4357421006|https://openalex.org/A2420044526|https://openalex.org/A4353423355,"aqueducts,|water",6,Mutation|Hearing loss|Audiology|Vestibular aqueduct|Inner ear|Vestibular system|Biology|Genetics|Anatomy|Gene|Medicine,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4355064394"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",4.437453737971873,167,2009,1,CN,2f429e6fe12b1347699bd967fccf348512755224ea20daea40600d86085488b4
Harold C. Troxell,https://openalex.org/A4343564951,United States Geological Survey,Reston,Virginia,United States,38.94762,-77.36789,,"aqueducts,|water",0,Physical geography|Geology|Geography|Water resource management|Water resources|Hydrology (agriculture)|Biology|Ecology|Geotechnical engineering|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4343564951"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,3,1957,1,US,
Harold David Brackman,https://openalex.org/A2652163005,Unknown,,,,,,https://openalex.org/A4344756916,"aqueducts,|water",1,Demography|Sociology|Archaeology|Revenue|Metropolitan area|Geography|Agricultural economics|Finance|Business|Population|Economics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2652163005"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,3,2006,1,un,a0a3e86574d0b266ea2bf42aa9a016eaad307b16fa58ff268c2778dd98c8dffe
Harold Romer,https://openalex.org/A2681886339,Unknown,,,,,,https://openalex.org/A4347399864|https://openalex.org/A2732482033,"aqueducts,|water",2,Emergency planning|Water source|Voltage|Environmental engineering|Groundwater|Engineering|Water supply|Mains electricity|Electrical engineering|Water resource management|Political science|Emergency management|Law|Geotechnical engineering|Business|Environmental planning|Environmental science,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2681886339"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1965,1,un,0f101b375c4714f803da3fd87f0afd3335f5a23d5abaa8bb04fba36f1bee6a29
Harry B. Evans,https://openalex.org/A4369655935,Unknown,,,,,,https://openalex.org/A4369655934,"aqueducts,|water",1,Geology|Distribution (mathematics)|Mathematical analysis|Environmental science|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4369655935"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,1,1995,1,un,e15f738f601db11a75452da4c73a71db4cbfb2411a6440df7185f5d55e994dc9
Harry C. Evans,https://openalex.org/A4337280887,Universidade Federal de Viçosa,Viçosa,,Brazil,-20.7603,-42.8678,https://openalex.org/A4338963123,"aqueducts,|water",1,Art|Plan (archaeology)|World Wide Web|Aqueduct|Environmental engineering|Distribution (mathematics)|Water supply|Engineering|Natural (archaeology)|Geography|Archaeology|Computer science|Mathematical analysis|Ancient history|Art history|Download|History|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4337280887"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,4,1993|1994|1982,3,BR,1278c502bda13e440a451df8ae81d5e457f70816492d14f6a344d2d6b953cbaa
Harvey Thomas Banks,https://openalex.org/A4333683241,North Carolina State University,Raleigh,North Carolina,United States,35.784386,-78.682785,https://openalex.org/A4354459129,"aqueducts,|water",1,Environmental engineering|Natural resource economics|Biology|Water conservation|Demography|Sociology|Water resources|Water resource management|Politics|Law|Finance|Business|Population|Water supply|Political science|Ecology|Environmental science|Economics|Water trading|Liberian dollar,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4333683241"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,4,1962,1,US,a176beb6622603e074ca4c7fda1b08e215bb58eb81144af0befdd26906723aae
Hazel Dodge,https://openalex.org/A2275563147,Institute of Archaeology,Moscow,,Russia,55.688927,37.572598,https://openalex.org/A4350850052,"aqueducts,|water",1,Art|Architecture|Classics|Reign|Ancient Rome|Worship|Political science|Chariot|Ancient history|Emperor|Visual arts|Politics|Law|History|Roman Empire|Drama|Siege,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2275563147"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": true})'>Show publications</a>",0,6,1998,1,RU,5e4f2c8fbc123d04d67d40af6173ebc1dd0ecf6b76be50894941d5f9b60b8601
